title,author,binding,in_stock,category,product_url,price_idr,original_price_idr,discount_percent,isbn,publisher,publication_date,pages,language,weight,review_count
Days at the Morisaki Bookshop,"Yagisawa, Satoshi",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781786583239/days-at-the-morisaki-bookshop?path=1_32,258000.0,258000.0,0.0,9781786583239.0,Bonnier Books Ltd,04 July 2023,160.0,English UK / Other,0.17,4
The Housemaid,"McFadden, Freida",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781538742570/the-housemaid?path=1_32,258000.0,258000.0,0.0,9781538742570.0,Grand Central Publishing,-,336.0,English,0.27,4
Project Hail Mary,"Weir, Andy",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593135228/project-hail-mary?path=1_32,248000.0,358000.0,31.0,9780593135228.0,Ballantine Books,-,496.0,English,0.34,1
Batman: Hush: DC Compact Comics Edition,"Loeb, Jeph",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781779527264/batman-hush-dc-compact-comics-edition?path=1_32,198000.0,198000.0,0.0,9781779527264.0,DC Comics,-,312.0,English,0.36,1
Strange Pictures,Uketsu,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780063433083/strange-pictures?path=1_32,360000.0,360000.0,0.0,9780063433083.0,Harpervia,-,240.0,English,0.23,5
Strange Houses,Uketsu,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780063433151/strange-houses?path=1_32,360000.0,360000.0,0.0,9780063433151.0,Harpervia,-,208.0,English,0.2,3
Madonna in a Fur Coat,"Ali, Sabahattin",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780241422267/madonna-in-a-fur-coat?path=1_32,225000.0,225000.0,0.0,9780241422267.0,Penguin Books Ltd,04 March 2021,192.0,English,0.15,1
Watchmen: DC Compact Comics Edition,"Moore, Alan",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781779527325/watchmen-dc-compact-comics-edition?path=1_32,198000.0,198000.0,0.0,9781779527325.0,DC Comics,-,416.0,English,0.54,0
An Offer from a Gentleman [Tv Tie-In]: Benedict's ...,"Quinn, Julia",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780063484948/an-offer-from-a-gentleman-tv-tie-in-benedict-s-story-the-inspiration-for-bridgerton-season-four?path=1_32,188000.0,238000.0,21.0,9780063484948.0,Avon Books,-,480.0,English,0.37,3
"Jujutsu Kaisen, Vol. 26","Akutami, Gege",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781974754977/jujutsu-kaisen-vol-26?path=1_32,238000.0,238000.0,0.0,9781974754977.0,Viz Media,-,192.0,English,0.18,0
There are Rivers in the Sky,"Shafak, Elif",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780241988749/there-are-rivers-in-the-sky?path=1_32,250000.0,250000.0,0.0,9780241988749.0,Penguin Books Ltd,03 April 2025,496.0,English UK / Other,0.34,3
Good Material,"Alderton, Dolly",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780241993163/good-material?path=1_32,250000.0,250000.0,0.0,9780241993163.0,Penguin Books Ltd,01 August 2024,352.0,English UK / Other,0.25,1
The Seven Year Slip,"Poston, Ashley",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593336502/the-seven-year-slip?path=1_32,205000.0,290000.0,29.0,9780593336502.0,Berkley Books,-,368.0,English,0.34,2
I Decided to Live as Me,Unknown Author,Paperback,1,Fiction & Literature,http://www.periplus.com/p/9780593994917/i-decided-to-live-as-me?path=1_32,268000.0,268000.0,0.0,9780593994917.0,PRHUS,-,272.0,English,0.8,1
Supergirl: Woman of Tomorrow: DC Compact Comics,"King, Tom",Paperback,1,Fiction & Literature,http://www.periplus.com/p/9781799506904/supergirl-woman-of-tomorrow-dc-compact-comics?path=1_32,198000.0,198000.0,0.0,9781799506904.0,DC Comics,-,216.0,English,0.25,2
